race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2300,3668369e4393466bf6a90c5d3e330a62fdb6b1b0,a50786be6449b5566c7e8fb2ee13ac815763d583,24,18,22,M,49,,01:46:01.360
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2302,bf56b479af869c6a0824443873098d0fe909f9d0,49bec5e5c24ebe9b1b1c841b43ec3c9aa05a8959,217,76,87,F,36,,02:39:45.908
ASFALTO - 21Km,ASFALTO 21Km - MASTER: 50+ FEMININO,2303,70dbd1585b9d1eb7a05e6b2f91d93ae6079b03c0,dd98d601790c5bc54f38313dafa7070384442957,177,6,61,F,51,,02:26:40.240
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2306,e8c436585fd52c0d91db1f3cc078d547f88bcd9e,6a4c5b40a0ccb1e52bda78c82ff8c2054d567bda,120,81,93,M,36,,02:13:51.487
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2307,6b78a610a5e8b7089ab8e669adbfdbc0a0dbd3e1,940066cd005deb41f2f52b1382abea84b069ffe0,93,17,18,F,38,,02:05:42.928
ASFALTO - 21Km,ASFALTO 21Km - MASTER: 50+ MASCULINO,2308,106bc88db4800bb116b3e0b8b6ea85cee510617a,a13cda0b64308ebdfcc5a02236e5af145cc1ff1e,63,9,55,M,55,,02:00:02.564
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2309,54e94ea6d215750d116c0e933fa8e457aae8a6df,d67d46fb59e1499995f535c9c9b49e6d42f2627b,41,30,37,M,47,,01:54:46.172
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2310,6a17d0bb6db13b9a1b19184a19b122e147e6c05a,d74ecbb7cf5026743dcb8b9efd385bf4d057605a,246,88,105,F,32,,02:54:52.960
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2312,d3ea9c5c411e14d9e55c1f0a3a636497fcd4f88b,ee49a9a9ee1bb5bea1c1d4a754dc66815f099149,91,63,74,M,38,,02:05:17.486
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2313,ccfbed9225bc03942aa27dc8a6298c99cb7cfe92,da39a3ee5e6b4b0d3255bfef95601890afd80709,99,68,79,M,,,02:06:39.297
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2314,111243ebb559cf4f784ddaa4a88a6de0f469447f,03be485b204c6f270ab932879dd98270d81a6dfd,190,103,121,M,41,,02:30:20.825
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2316,af412b128c5a297cbd3a4b92333db24715818a50,981ec02824c2838770cc31a98b134de78779b697,40,29,36,M,30,,01:54:44.228
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2317,8916fdcaa10ae000c0dbd41d73a1a6c753736d74,d1980692c1c1e46b09ce10308ad5c1bb60790d07,247,89,106,F,46,,02:57:56.340
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2318,9739b8196656f7b01958b410f573d24738c2a45c,d820e05fff91400b4a42497df73bb791b3b4c3e3,106,20,22,F,34,,02:07:42.561
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2319,6dc7970e590f6d0bcdd893f00ac9dee17f2da119,00e88a8224280740206ca1a94052e2c90480257c,70,50,60,M,44,,02:01:35.617
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2320,66eac97ae6c940e2038b3252dae985125cc3e2cc,30ef527d659b814677608ada3ee087408068d54e,253,91,109,F,45,,03:07:32.993
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2321,a2750700057cbc5653f5d4a7a644c7e72ce65981,82f1637dd72138cc1dd6d1a04e31ff10f3ed5a90,119,80,92,M,35,,02:13:32.141
