race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
10KM,10KM - ATE 59 ANOS - FEMININO,428,b6ca85e427d8f2eb826ff3ca1292f0fded9c770f,72ca9ca581f1dd12abd4d8fe2c6ed8b196a394c2,55,17,17,F,35,Float,01:17:02.055
10KM,10KM - ATE 59 ANOS - FEMININO,429,a9fc6fea87852a1aa5fca557c4d3aeec78fc5570,d6d1851f71fb0de8f53df62b1dba4336ca4422ea,200,87,97,F,38,milk,02:01:09.729
10KM,10KM - ATE 59 ANOS - FEMININO,430,2b035162e897dc55597c87554e31ea17fcbe9618,ac9a9daa7f7291e1670aea9042a3c9cab140cd42,81,33,33,F,23,Olymlikus,01:23:27.737
10KM,10KM - ATE 59 ANOS - FEMININO,431,88527f62b6d8439aefacc44ff4cbb5c73ddc780f,79b5eda19fee1c1442c64b3efb5ab61c290bce29,46,11,11,F,42,,01:14:11.965
10KM,10KM - ATE 59 ANOS - FEMININO,432,da47549ccc14919d95002a618a3fb9fa4cd85393,60250be47ae0de1fb46c194da997421952d20618,61,19,19,F,31,Time Olympikus,01:19:03.801
10KM,10KM - ATE 59 ANOS - FEMININO,433,478d40dcbdfeb2667efa4945171c5fb12033ac6d,f08eaf69e7e17b505abdb7071b309a55c23db0e9,101,44,44,F,34,Pretto Triatlhon/ Dbartelle Engenharia,01:26:54.177
10KM,10KM - ATE 59 ANOS - FEMININO,434,79e84a21bcc50a4d1b3c99d9a8d00a8c20720bbe,f372e37a2c60574a9633cbdbb130d5da933de0b5,114,50,51,F,29,olympikus,01:30:51.221
10KM,10KM - ATE 59 ANOS - FEMININO,435,ce8926e7479b43bc6461cac59b52c25fa6f5a74a,d13eb9925429425660cb3c5a49130ce2a9d5fa86,174,81,89,F,51,Lilian,01:53:13.381
10KM,10KM - ATE 59 ANOS - FEMININO,436,0d7554f4849270edcc63423d8aaef33eddac17b8,ec09b7bf9aaaa1dfb4a680512a1e554b509abd79,65,22,22,F,23,SQUAD,01:19:41.557
10KM,10KM - ATE 59 ANOS - FEMININO,437,964ff209833c0f62121f2ff430d4e06b3fb0a723,fbd1e966950a0ed8b3fe6acfcb668903118e62a6,145,69,70,F,30,Milk,01:39:49.430
10KM,10KM - ATE 59 ANOS - FEMININO,438,b09bf49f3c8c96fdcfcd445bb89b624f1ff3af7f,7c7706ecdcc7cdd0f420d089ff92bc3193ae7c85,131,61,62,F,28,Time Olympikus,01:35:09.577
10KM,10KM - ATE 59 ANOS - FEMININO,439,840a523753db0145ae1abe5667ec8eb4bb421b97,3bf1fa55864e6a00e301e4c184180a096e7b8880,203,88,99,F,27,,02:02:47.764
