race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21K,21K - Geral Feminino,2252,5d8ae57e9521f2d2d2bd394207254f1238cce049,fc2e62f5f1e1cebacd1d412a8297ebabfd3ed7a2,80,19,19,F,,,02:04:25.726
21K,21K - Geral Masculino,2253,63c384062f2bf77faf91b350289b28a1a859ca35,3273fbb01690fd23531a2c5d5780419d099ee8b3,16,15,15,M,,,01:36:49.427
21K,21K - Geral Masculino,2255,a587255b17e000c29809f334717734f6b1558415,4cf10e9508744440d75f3b6e5a1f19eeeebe45f8,3,3,3,M,,,01:17:23.150
21K,21K - Geral Feminino,2256,d088d29932334f5cf02c9a123a0b296cf20d5616,6fae3f279afe97b75e6554ec864e7a8ba21b930a,157,48,56,F,,,03:09:12.852
10K,10K - Geral Masculino,2257,e1db3bd26c15804ac629b7d9da20cd5bb25b33b3,921f9446c70f7d04aba9aac147ac865c01ba6bc5,165,73,86,M,,,01:20:09.623
21K,21K - Geral Masculino,2258,833dbe6da178253ec736a7244b48ce6c854e4094,c402e193dbeb4fe0d6e7a17af876993b3532dbcd,5,5,5,M,,,01:22:45.257
21K,21K - Geral Masculino,2259,d95bad6f470e9ed42c2481faafcdd6eff81f1afe,e7a90d25a0d9080d0739819a8960fd9d343cb779,124,76,89,M,,,02:22:26.744
21K,21K - Master: acima de 50 anos Masculino,2260,511fbb7498d8e8bec60cf86c01afe51ec2e5d4ac,9d0c79450963c1cdbe9d0992a258b8f82f4d57a9,67,9,54,M,,,02:00:34.006
21K,21K - Master: acima de 50 anos Masculino,2263,f5db73627ca887964703dba8d77fca33c6e7ea8a,9faa400df84bfc7544710bc071bdc6d257b187f9,114,13,81,M,,,02:19:50.106
21K,21K - Geral Feminino,2264,b10ffe4058c47868134ab56dd0210cd5c56f4450,f1a580f1d6496bb4cedbf70bf5db5418eb122074,66,13,13,F,,,02:00:21.762
21K,21K - Master: acima de 50 anos Masculino,2265,94e1d33136383f1188ad18492a63c862dfe677cb,6023cdc754670a2bec467dd04d89083fdc615deb,106,11,76,M,,,02:16:53.549
21K,21K - Geral Masculino,2267,dc11a9fdcbf24076d6f133c0dcf479f76d651585,fb3eab0c56ec74b7a1eaaff21c92f1c697488df7,40,32,36,M,,,01:46:46.458
21K,21K - Geral Masculino,2268,2f6871ab8fd8e63522871b771a898a3d2688e69e,4f3cfb9e02588c5a35fe2400b258fcc57222a655,87,58,67,M,,,02:07:23.602
21K,21K - Geral Masculino,2269,739a6c1705c0032147578c43fbca2dd6eeb48414,0deab43fb28ebda92ebf8da30fc6a004e6c2788c,23,21,21,M,,,01:39:21.750
21K,21K - Geral Feminino,2270,b647ba03660deab3de73ea7a377958ca300081c7,2b35514474309ac25c73cfde89b95a3b95d9f7db,76,17,17,F,,,02:03:21.254
21K,21K - Geral Feminino,2271,60ccb294fe30da86a13fb600a22a8730fb364e16,b296a76e304d820986617b387c1d72f34cdea8a6,53,6,6,F,,,01:54:00.275
21K,21K - Geral Masculino,2273,b3ad76f10c11a473bef8984e28bb9e1607f266be,442fb3cb264988109a0c08973ef2560ffb4b1173,82,54,63,M,,,02:04:40.041
21K,21K - Geral Masculino,2274,4cdf2ec1a312c10bf9635523522eefb130c7f769,ef8af7f15015bfa5f9377462ff8a86ab42634010,56,42,49,M,,,01:56:05.376
21K,21K - Geral Masculino,2275,cde63ce284eed645af07eab4cf2d987861523e64,98eb29f26e98b19a7455e169b984f68dbdd83198,94,62,71,M,,,02:11:44.473
21K,21K - Geral Feminino,2276,d8724fd182162db5986b3a9b91d2d6923eb1ef96,b111be2e35d357abd706b7a1b7fdca0b7e312574,101,27,28,F,,,02:14:04.580
21K,21K - Master: acima de 50 anos Feminino,2277,5f5d588d1a11fd6bd751a8aede6e1373b6dfa79d,42614694a5dd9aadfc150726684b3804a71acbb2,99,1,26,F,,,02:13:40.932
21K,21K - Geral Masculino,2278,91fdc2ced666ddf375e0c4437658dfe0fd813c31,6788ffbc1e24318572e7b72b7899f0fcd2268fc0,130,78,91,M,,,02:26:12.224
